match,playerName,teamId,position,player_score
"Argeș - Hermannstadt, 3-1_players_stats.json",Moonga Aluta Simba,55427.0,Forward,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Marko Gjorgjievski,55427.0,Forward,0.45
"Argeș - Hermannstadt, 3-1_players_stats.json",Takayuki Seto,23334.0,Midfielder,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Cătălin George Straton,23334.0,Goalkeeper,0.51
"Argeș - Hermannstadt, 3-1_players_stats.json",Aurelian Chițu,55427.0,Forward,0.31
"Argeș - Hermannstadt, 3-1_players_stats.json",Vadim Raţă,23334.0,Midfielder,1.1
"Argeș - Hermannstadt, 3-1_players_stats.json",David Lazar,55427.0,Goalkeeper,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Sergiu Florin Buș,55427.0,Forward,0.31
"Argeș - Hermannstadt, 3-1_players_stats.json",Marius Briceag,23334.0,Defender,0.9
"Argeș - Hermannstadt, 3-1_players_stats.json",Guilherme Gomes Garutti,23334.0,Defender,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Kevin Luckassen Brobbey,23334.0,Forward,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Andreas Karo,55427.0,Defender,-0.01
"Argeș - Hermannstadt, 3-1_players_stats.json",Bozhidar Chorbadzhiyski,55427.0,Defender,0.54
"Argeș - Hermannstadt, 3-1_players_stats.json",Ionuț Stoica,55427.0,Defender,1.52
"Argeș - Hermannstadt, 3-1_players_stats.json",Ionuţ Pop,55427.0,Goalkeeper,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Vlad Muțiu,55427.0,Goalkeeper,0.08
"Argeș - Hermannstadt, 3-1_players_stats.json",Antoni Ivanov,55427.0,Midfielder,0.53
"Argeș - Hermannstadt, 3-1_players_stats.json",Eduard Florescu,55427.0,Midfielder,0.5
"Argeș - Hermannstadt, 3-1_players_stats.json",Adel Bettaieb,23334.0,Forward,1.57
"Argeș - Hermannstadt, 3-1_players_stats.json",Tiberiu Căpușă,55427.0,Defender,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Jair Tavares da Silva,55427.0,Midfielder,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Cristian Daniel Neguţ,55427.0,Forward,0.41
"Argeș - Hermannstadt, 3-1_players_stats.json",Robert Moldoveanu,23334.0,Forward,1.05
"Argeș - Hermannstadt, 3-1_players_stats.json",Claudiu Micovschi,23334.0,Forward,0.24
"Argeș - Hermannstadt, 3-1_players_stats.json",Rober Sierra,23334.0,Midfielder,2.37
"Argeș - Hermannstadt, 3-1_players_stats.json",Costinel Andrei Tofan,23334.0,Defender,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Ionuţ Laurenţiu Rădescu,23334.0,Midfielder,0.36
"Argeș - Hermannstadt, 3-1_players_stats.json",Dennis Politic,55427.0,Midfielder,0.23
"Argeș - Hermannstadt, 3-1_players_stats.json",Dorinel Oancea,23334.0,Defender,1.22
"Argeș - Hermannstadt, 3-1_players_stats.json",Ricardo Manuel Pinho Matos,23334.0,Forward,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Jakov Blagaić,23334.0,Midfielder,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Leard Sadriu,23334.0,Defender,1.31
"Argeș - Hermannstadt, 3-1_players_stats.json",Dragoș Albu,55427.0,Midfielder,0.17
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",David Matei,26233.0,Midfielder,0.97
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Luca Băsceanu,26233.0,Midfielder,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Mihai Toma,11565.0,Midfielder,0.67
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Mihnea Rădulescu,26233.0,Forward,0.1
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Alexandru Constantin Stoian,11565.0,Forward,0.28
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Octavian Popescu,11565.0,Midfielder,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Alexandru Pantea,11565.0,Defender,0.59
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Mihai Udrea,11565.0,Goalkeeper,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Carlos Mora Montoya,26233.0,Forward,0.08
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Baba Alhassan,11565.0,Midfielder,0.34
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Luis Javier Paradela Díaz,16834.0,Forward,0.31
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Pavlo Isenko,26233.0,Goalkeeper,0.45
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Ştefan Târnovanu,11565.0,Goalkeeper,0.36
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Ştefan Baiaram,26233.0,Midfielder,0.17
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Daniel Bîrligea,11565.0,Forward,0.42
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Denis Alibec,61242.0,Forward,0.15
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Valentin Crețu,11565.0,Defender,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Vlad Iulian Chiricheș,11565.0,Defender,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Risto Radunović,11565.0,Defender,0.84
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Alexandru Crețu,26233.0,Midfielder,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Lukáš Zima,11565.0,Goalkeeper,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Juri Cisotti,11565.0,Midfielder,1.05
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Lyes Houri,26233.0,Midfielder,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",David Kiki,11565.0,Defender,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Florin Tănase,11565.0,Midfielder,1.62
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Vasile Mogoș,26233.0,Defender,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Mamadou Thiam,11565.0,Forward,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Alexandru Cicâldău,26233.0,Midfielder,0.96
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Florin Ștefan,26233.0,Defender,1.16
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Samuel Teles Pereira Nunes Silva,26233.0,Midfielder,1.52
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Mihai Popescu,11565.0,Defender,0.73
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Tudor Băluţă,26233.0,Midfielder,1.35
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Darius Olaru,11565.0,Midfielder,0.93
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Laurenţiu Popescu,26233.0,Goalkeeper,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Nikola Stevanović,26233.0,Defender,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Adrian Şut,16926.0,Midfielder,1.0
