match,playerName,teamId,position,goals,assists,shots,passes,interceptions,recoveries,player_score
"Argeș - Hermannstadt, 3-1_players_stats.json",Luca Crăciun,75339.0,Goalkeeper,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Ioan Bârstan,55427.0,Forward,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Luca Stancu,55427.0,Defender,0,0,0,6,4,7,0.21
"Argeș - Hermannstadt, 3-1_players_stats.json",Adriano George Flavius Manole,75136.0,Forward,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Kevin Ciubotaru,55427.0,Defender,0,0,0,14,1,7,0.16
"Argeș - Hermannstadt, 3-1_players_stats.json",Christian Nikolas Pirvu Yanis,23334.0,Midfielder,0,0,2,18,4,7,0.9
"Argeș - Hermannstadt, 3-1_players_stats.json",Christ Nkama Afalna,55427.0,Midfielder,0,0,0,2,2,2,0.1
"Argeș - Hermannstadt, 3-1_players_stats.json",Mario Tudose,23334.0,Defender,0,0,1,72,3,11,1.8
"Argeș - Hermannstadt, 3-1_players_stats.json",Alexandru Oroian,78702.0,Defender,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Aviel Zargari,55427.0,Midfielder,0,0,1,22,4,9,0.95
"Argeș - Hermannstadt, 3-1_players_stats.json",Nana Kwame Antwi,13276.0,Defender,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Florin Borța,23334.0,Defender,0,0,0,11,0,2,0.27
"Argeș - Hermannstadt, 3-1_players_stats.json",Moonga Aluta Simba,55427.0,Forward,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Marko Gjorgjievski,55427.0,Forward,0,0,1,6,0,1,0.3
"Argeș - Hermannstadt, 3-1_players_stats.json",Takayuki Seto,23334.0,Midfielder,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Cătălin George Straton,23334.0,Goalkeeper,0,0,0,18,2,4,0.53
"Argeș - Hermannstadt, 3-1_players_stats.json",Aurelian Chițu,55427.0,Forward,0,0,0,15,2,2,0.03
"Argeș - Hermannstadt, 3-1_players_stats.json",Vadim Raţă,23334.0,Midfielder,0,0,0,38,2,6,0.92
"Argeș - Hermannstadt, 3-1_players_stats.json",David Lazar,55427.0,Goalkeeper,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Sergiu Florin Buș,55427.0,Forward,1,0,1,9,0,0,1.8
"Argeș - Hermannstadt, 3-1_players_stats.json",Marius Briceag,23334.0,Defender,0,0,1,16,3,9,0.58
"Argeș - Hermannstadt, 3-1_players_stats.json",Guilherme Gomes Garutti,23334.0,Defender,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Kevin Luckassen Brobbey,23334.0,Forward,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Andreas Karo,55427.0,Defender,0,0,0,0,2,0,0.01
"Argeș - Hermannstadt, 3-1_players_stats.json",Bozhidar Chorbadzhiyski,55427.0,Defender,0,0,0,12,4,5,0.43
"Argeș - Hermannstadt, 3-1_players_stats.json",Ionuț Stoica,55427.0,Defender,0,0,1,19,4,12,1.16
"Argeș - Hermannstadt, 3-1_players_stats.json",Ionuţ Pop,55427.0,Goalkeeper,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Vlad Muțiu,55427.0,Goalkeeper,0,0,0,7,0,1,0.03
"Argeș - Hermannstadt, 3-1_players_stats.json",Antoni Ivanov,55427.0,Midfielder,0,0,0,10,2,5,0.35
"Argeș - Hermannstadt, 3-1_players_stats.json",Eduard Florescu,55427.0,Midfielder,0,0,0,14,3,4,0.23
"Argeș - Hermannstadt, 3-1_players_stats.json",Adel Bettaieb,23334.0,Forward,2,0,4,22,4,8,4.21
"Argeș - Hermannstadt, 3-1_players_stats.json",Tiberiu Căpușă,55427.0,Defender,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Jair Tavares da Silva,55427.0,Midfielder,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Cristian Daniel Neguţ,55427.0,Forward,0,0,1,3,2,2,0.23
"Argeș - Hermannstadt, 3-1_players_stats.json",Robert Moldoveanu,23334.0,Forward,1,0,3,18,4,4,2.29
"Argeș - Hermannstadt, 3-1_players_stats.json",Claudiu Micovschi,23334.0,Forward,0,0,1,5,1,1,0.2
"Argeș - Hermannstadt, 3-1_players_stats.json",Rober Sierra,23334.0,Midfielder,0,1,1,43,5,17,3.02
"Argeș - Hermannstadt, 3-1_players_stats.json",Costinel Andrei Tofan,23334.0,Defender,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Ionuţ Laurenţiu Rădescu,23334.0,Midfielder,0,1,0,14,2,3,1.28
"Argeș - Hermannstadt, 3-1_players_stats.json",Dennis Politic,55427.0,Midfielder,0,0,0,9,3,3,0.21
"Argeș - Hermannstadt, 3-1_players_stats.json",Dorinel Oancea,23334.0,Defender,0,0,0,43,5,10,1.12
"Argeș - Hermannstadt, 3-1_players_stats.json",Ricardo Manuel Pinho Matos,23334.0,Forward,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Jakov Blagaić,23334.0,Midfielder,0,0,0,0,0,0,0.0
"Argeș - Hermannstadt, 3-1_players_stats.json",Leard Sadriu,23334.0,Defender,0,0,0,58,4,4,1.25
"Argeș - Hermannstadt, 3-1_players_stats.json",Dragoș Albu,55427.0,Midfielder,0,0,0,3,1,2,0.13
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",David Matei,26233.0,Midfielder,0,0,4,21,1,3,0.53
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Luca Băsceanu,26233.0,Midfielder,0,0,0,0,0,0,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Mihai Toma,11565.0,Midfielder,0,0,0,12,4,7,0.66
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Mihnea Rădulescu,26233.0,Forward,0,0,0,4,1,1,0.11
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Alexandru Constantin Stoian,11565.0,Forward,0,0,0,6,1,3,0.14
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Octavian Popescu,11565.0,Midfielder,0,0,0,0,0,0,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Alexandru Pantea,11565.0,Defender,0,0,0,13,1,7,0.5
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Mihai Udrea,11565.0,Goalkeeper,0,0,0,0,0,0,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Carlos Mora Montoya,26233.0,Forward,0,0,0,5,0,2,0.03
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Baba Alhassan,11565.0,Midfielder,0,0,0,9,2,3,0.31
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Luis Javier Paradela Díaz,16834.0,Forward,0,0,0,8,0,2,0.21
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Pavlo Isenko,26233.0,Goalkeeper,0,0,0,12,1,3,0.41
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Ştefan Târnovanu,11565.0,Goalkeeper,0,0,0,10,0,5,0.31
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Ştefan Baiaram,26233.0,Midfielder,0,0,0,11,0,2,0.12
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Daniel Bîrligea,11565.0,Forward,0,0,3,4,0,0,0.22
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Denis Alibec,61242.0,Forward,0,0,0,5,1,3,0.06
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Valentin Crețu,11565.0,Defender,0,0,0,0,0,0,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Vlad Iulian Chiricheș,11565.0,Defender,0,0,0,0,0,0,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Risto Radunović,11565.0,Defender,0,0,0,30,4,5,0.73
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Alexandru Crețu,26233.0,Midfielder,0,0,0,0,0,0,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Lukáš Zima,11565.0,Goalkeeper,0,0,0,0,0,0,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Juri Cisotti,11565.0,Midfielder,0,0,0,21,5,11,0.6
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Lyes Houri,26233.0,Midfielder,0,0,0,0,0,0,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",David Kiki,11565.0,Defender,0,0,0,0,0,0,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Florin Tănase,11565.0,Midfielder,1,0,2,25,1,4,2.78
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Vasile Mogoș,26233.0,Defender,0,0,0,0,0,0,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Mamadou Thiam,11565.0,Forward,0,0,0,1,0,0,-0.1
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Alexandru Cicâldău,26233.0,Midfielder,0,0,1,22,2,5,0.73
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Florin Ștefan,26233.0,Defender,0,0,0,30,4,10,0.9
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Samuel Teles Pereira Nunes Silva,26233.0,Midfielder,0,0,2,36,1,4,0.98
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Mihai Popescu,11565.0,Defender,0,0,1,14,2,5,0.65
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Tudor Băluţă,26233.0,Midfielder,0,0,0,37,5,10,1.15
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Darius Olaru,11565.0,Midfielder,0,0,1,18,1,6,0.48
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Laurenţiu Popescu,26233.0,Goalkeeper,0,0,0,0,0,0,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Nikola Stevanović,26233.0,Defender,0,0,0,0,0,0,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Adrian Şut,16926.0,Midfielder,0,0,2,26,2,7,0.92
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Vladimir Screciu,26233.0,Midfielder,0,0,0,44,5,12,1.37
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Adrián Rus,26233.0,Defender,0,0,0,41,6,16,1.34
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Siyabonga Ngezana,11565.0,Defender,0,0,0,25,5,10,1.09
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Anzor Mekvabishvili,26233.0,Midfielder,0,0,0,0,0,0,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Dennis Politic,55427.0,Midfielder,0,0,0,0,0,0,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Monday Bassey Etim,26233.0,Forward,0,0,0,8,0,1,-0.16
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Oleksandr Romanchuk,26233.0,Defender,0,0,0,34,3,8,1.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Aimé Steven Nsimba Labe,26233.0,Forward,0,0,2,11,3,2,0.39
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",David Miculescu,11565.0,Forward,0,0,1,3,2,1,0.2
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Assad Al Hamlawi,26233.0,Forward,0,0,0,2,0,1,-0.1
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Muntean Denys,62818.0,Midfielder,0,0,0,0,0,0,-0.03
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Loránd Bencze,22731.0,Defender,0,0,0,0,0,0,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Luca Noveli,64161.0,Forward,0,0,0,0,0,0,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Dániel Brugger,64161.0,Midfielder,0,0,0,0,0,0,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Előd Tóth-Pál,64161.0,Forward,0,0,0,3,2,2,0.09
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",David Matei,26233.0,Midfielder,2,0,3,23,0,3,3.86
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Luca Băsceanu,26233.0,Midfielder,0,0,1,14,0,0,0.29
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Darius Fălcușan,26233.0,Defender,0,0,0,0,0,0,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Máté Simon,22731.0,Goalkeeper,0,0,0,0,0,0,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Ervin-Raul Bakoș,22731.0,Midfielder,0,0,0,2,3,2,0.24
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Szabolcs Dusinszki,22731.0,Midfielder,0,0,0,0,0,0,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Carlos Mora Montoya,26233.0,Forward,1,1,3,47,0,8,4.2
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Pavlo Isenko,26233.0,Goalkeeper,0,0,0,0,0,0,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Attila Csürös,22731.0,Midfielder,0,0,0,26,0,7,0.74
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Szabolcs Szalay,22731.0,Forward,0,0,0,2,0,0,-0.02
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Ştefan Baiaram,26233.0,Midfielder,0,2,2,26,0,2,3.27
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Francisco Anderson de Jesus dos Santos,22731.0,Midfielder,0,0,0,14,0,1,0.02
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Silviu Lung,26233.0,Goalkeeper,0,0,0,0,0,0,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Peter Gál-Andrezly,11579.0,Midfielder,0,0,0,0,0,0,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Dávid Kelemen,10192.0,Defender,0,0,0,0,0,0,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Márton Eppel,22731.0,Forward,0,0,2,4,0,2,0.17
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",János Ferenczi,10234.0,Defender,0,0,0,24,1,6,0.47
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Alexandru Crețu,26233.0,Midfielder,0,0,0,0,0,0,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Lyes Houri,26233.0,Midfielder,0,0,1,2,0,2,0.19
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Eduard Pap,22731.0,Goalkeeper,0,0,0,18,1,3,0.32
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Szilárd Veres,22731.0,Midfielder,0,0,0,9,1,5,0.25
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Vasile Mogoș,26233.0,Defender,0,0,0,0,0,0,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Alexandru Cicâldău,26233.0,Midfielder,0,0,1,65,0,3,1.18
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Lóránd Pászka,22731.0,Defender,0,0,0,21,1,5,0.49
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Florin Ștefan,26233.0,Defender,0,0,0,16,1,4,0.41
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Samuel Teles Pereira Nunes Silva,26233.0,Midfielder,0,0,0,36,1,3,0.71
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Laurenţiu Popescu,26233.0,Goalkeeper,0,0,0,8,1,3,0.33
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Raul Ioan Palmes,22731.0,Defender,0,0,0,31,3,8,0.91
