feature,importance
attacking_threat_index,0.21287705780062832
risk_index,0.17404423870792768
progression_index,0.15455520732065506
pressing_recovery_index,0.14069400394099815
possession_security_index,0.12899690873444072
final_third_index,0.11196862934048023
defensive_stability_index,0.07686395415486992
