Sessions,Week Calendar,Players,Distance (m),Distance - Distance/time (m/min),Duration (min),"Acceleration Zones (count) [3.0, 4.0]","Acceleration Zones (count) [-4.0, -3.0]","Acceleration Zones (count) [4.0, 10.0]","Acceleration Zones (count) [-10.0, -4.0]",Accelerations - High Intensity Acc Abs (m),Accelerations - High Intensity Dec Abs (m),"Speed Zones (m) [15.0, 20.0]","Speed Zones (m) [20.0, 25.0]","Speed Zones (m) [25.0, 50.0]",Load - Power Metabolic AVG (W/kg),Sprints - Sprints Abs (count/min),Total Load,Load Intensity,Fatigue Score
JOC OFICIAL U-METALOGLOBUS,71,Miguel,3057,112.4,27.32,15,17,6,8,166.11,174,442.6,201.89,36.02,11.0,0.15,16.181240000000003,111.89604685212299,2.98373124431604
JOI 06.11.2025 ,71,Miguel,4644,58.12,79.9,37,39,27,14,254.67,231,297.76,73.31,8.79,6.5,0.01,17.67498,58.1226533166458,3.259168646448673
LUNI 03.11.2025 COMPENSATOR ,71,Miguel,5086,69.51,73.18,48,38,7,16,227.12,250,221.1,8.96,0.0,7.4,0.0,18.3284,69.49986335064224,3.3796556838859138
MARTI 04.11.2025 METABOLIC,71,Miguel,6778,57.87,117.12,56,38,20,19,443.32,338,507.99,214.44,39.68,7.6,0.03,26.433760000000003,57.87226775956284,4.874239280596021
MIERCURI 05.11.2025,71,Miguel,5813,52.29,111.17,35,41,21,13,333.49,245,320.0,139.65,84.29,6.2,0.04,20.851380000000002,52.28928667806063,3.8448792548102984
DUMINICA - REACTIVITATE 30.11.2025,74,Macalou,4898,55.34,92.24,40,38,28,18,235.97,192,185.62,13.77,9.54,6.3,0.01,16.67648,53.10060711188205,3.075050763798792
JOI 27.11.2025 FORTA-SSG ,74,Macalou,2847,79.06,36.03,37,32,11,13,186.47,171,154.09,11.8,0.0,7.4,0.0,13.6964,79.01748542880932,2.5255404786438005
MARTI 25.11.2025  (AEROB ),74,Macalou,7855,87.65,89.62,47,23,21,16,378.93,246,810.57,239.66,61.69,8.0,0.07,24.826980000000002,87.6478464628431,4.577957927081574
TEHNIC + TACTIC -29.11.2025,74,Macalou,4590,48.33,94.97,33,24,11,3,267.04,113,275.64,48.92,23.31,5.7,0.01,15.137420000000002,48.33105191112983,2.7912566040880993
Tactic 26.11.2025,74,Macalou,5479,58.43,93.78,37,26,12,6,233.52,172,234.42,64.14,0.0,6.3,0.0,16.7394,58.42397099594796,3.086652864125612
VINERI 28.11.2025,74,Macalou,6060,58.24,104.04,39,22,8,10,248.17,179,319.55,119.97,25.93,6.1,0.01,17.75526,58.24682814302191,3.273971834850408
JOC OFICIAL   UTA - U CLUJ ,73,Macalou,10148,102.28,99.22,70,76,36,36,635.12,631,1208.3,490.88,229.78,9.5,0.17,41.52996,102.27776657931868,7.657895144450943
Joi 20.11.2025,73,Macalou,5810,50.69,114.61,21,29,8,9,239.76,279,341.89,189.35,82.01,5.9,0.06,19.599220000000003,50.69365674897478,3.613987869793899
MARTI 18.11.2025 Grupa 2,73,Macalou,4572,55.56,82.31,57,27,16,6,234.65,152,94.49,47.64,0.7,6.0,0.0,15.3064,55.54610618393877,2.822415582365692
Miercuri 19.11.2025,73,Macalou,6121,66.53,92.08,41,33,26,12,349.33,216,437.3,533.41,10.74,7.3,0.02,21.199080000000002,66.4748045178106,3.9089932135457657
vineri 21.11.2025,73,Macalou,4206,44.9,93.68,28,23,2,8,120.27,128,119.36,48.97,4.95,5.5,0.01,11.981300000000001,44.897523484201535,2.209285515666523
JOI 13.11.2025,72,Macalou,5517,61.57,89.6,66,40,39,23,470.61,285,432.32,421.96,36.28,7.5,0.03,24.60176,61.573660714285715,4.536428603565893
Joc Amical Zibru,72,Macalou,7843,64.89,120.89,72,53,32,34,704.33,540,749.45,337.14,308.23,8.4,0.15,38.29606000000001,64.877161055505,7.061581853813537
MIERCURI A2 12.11.2025 SSG,72,Macalou,3847,72.61,52.98,49,33,12,10,234.08,179,147.18,25.73,0.0,7.2,0.0,15.7086,72.61230653076633,2.8965790399538567
MIERECURI 12.112025,72,Macalou,3891,44.81,86.84,29,20,16,9,293.26,173,344.83,202.38,38.38,6.3,0.06,16.74296,44.80654076462459,3.0873093084543384
Vineri 14.11.2025,72,Macalou,5511,43.67,126.18,36,33,14,7,255.75,203,278.03,83.1,0.0,5.8,0.0,17.586000000000002,43.6757013789824,3.2427612261199936
JOC OFICIAL U-METALOGLOBUS,71,Macalou,8822,114.25,77.22,77,64,40,48,757.36,695,1035.94,556.07,344.62,10.5,0.23,44.958439999999996,114.24501424501425,8.290087911909595
JOI 06.11.2025 ,71,Macalou,4201,52.58,79.9,40,31,20,15,256.02,202,198.72,33.32,16.76,6.1,0.01,16.49492,52.57822277847309,3.0415721030337313
MARTI 04.11.2025 METABOLIC,71,Macalou,6356,54.27,117.12,51,25,25,19,376.47,252,448.76,84.38,21.33,6.4,0.02,22.268060000000002,54.26912568306011,4.106107218748639
MIERCURI 05.11.2025,71,Macalou,5052,45.44,111.17,34,33,9,9,243.88,241,191.94,105.26,102.48,5.8,0.06,18.15456,45.44391472519565,3.347600548462924
DUMINICA - REACTIVITATE 30.11.2025,74,Lukic,5170,58.15,92.24,49,39,34,13,414.46,292,353.17,104.29,13.73,7.6,0.02,23.226660000000003,56.04943625325239,4.2828677618715005
JOI 27.11.2025 FORTA-SSG ,74,Lukic,2845,79.02,36.03,27,27,11,13,180.22,202,238.93,43.66,0.0,8.4,0.0,14.6894,78.96197613100195,2.7086441916846935
MARTI 25.11.2025  (AEROB ),74,Lukic,8474,94.56,89.62,43,30,16,27,375.42,322,1302.67,278.19,97.94,9.9,0.1,28.06828,94.55478687792903,5.175635736829255
TEHNIC + TACTIC -29.11.2025,74,Lukic,5257,55.35,94.97,46,32,17,6,279.54,209,340.06,67.48,5.73,6.6,0.02,18.43926,55.35432241760556,3.4000976553136213
Tactic 26.11.2025,74,Lukic,6179,65.9,93.78,50,29,12,9,373.57,248,535.35,180.59,3.54,8.4,0.01,22.86748,65.88824909362337,4.216636954570364
VINERI 28.11.2025,74,Lukic,7058,67.84,104.04,52,38,12,17,416.95,352,544.37,281.79,81.78,8.0,0.09,27.05056,67.83929257977701,4.987973792382147
JOC OFICIAL   UTA - U CLUJ ,73,Lukic,10082,101.62,99.22,62,51,23,34,610.1,629,1173.24,622.8,369.82,10.5,0.2,41.85364,101.61257810925217,7.717579947912247
Joi 20.11.2025,73,Lukic,6610,57.68,114.61,51,41,10,10,452.62,295,512.72,215.79,159.15,7.5,0.07,25.980700000000006,57.67385044934997,4.790697520041835
Miercuri 19.11.2025,73,Lukic,7184,78.01,92.08,57,30,14,12,455.05,245,683.99,634.35,8.57,9.0,0.01,25.752140000000004,78.01911381407471,4.748552318981789
vineri 21.11.2025,73,Lukic,4803,51.27,93.68,47,43,21,14,282.68,250,235.36,78.63,4.99,6.5,0.01,18.76658,51.27028181041844,3.4604536546616025
JOI 13.11.2025,72,Lukic,5930,66.19,89.6,33,36,19,12,333.91,258,450.88,432.19,70.01,7.9,0.04,22.05822,66.18303571428572,4.067413882248639
MARTI 11.11.2025,72,Lukic,7598,97.65,77.82,48,34,11,13,374.01,285,1688.12,204.84,14.2,9.9,0.04,25.956599999999998,97.63556926240042,4.786253613209724
MARTI 18.11.2025 Grupa 1,72,Lukic,4887,55.93,87.39,44,33,12,18,289.03,268,282.67,71.61,13.68,7.3,0.02,19.80496,55.921730175077236,3.651925188949017
MIERCURI A2 12.11.2025 SSG,72,Lukic,3704,69.92,52.98,36,33,16,14,236.57,214,207.25,41.47,0.0,7.8,0.0,16.615399999999998,69.91317478293696,3.063787949304795
MIERECURI 12.112025,72,Lukic,3772,43.44,86.84,47,20,15,14,321.82,219,242.18,186.43,34.23,7.1,0.05,18.45686,43.436204514048825,3.403342998062382
JOC OFICIAL U-METALOGLOBUS,71,Lukic,10366,103.38,100.27,66,65,27,42,707.86,742,1405.42,678.38,196.28,10.6,0.14,45.75576000000001,103.38087164655431,8.437109314207447
JOI 06.11.2025 ,71,Lukic,4382,54.84,50.32,43,38,22,16,258.52,235,307.49,82.28,7.33,7.3,0.02,18.017059999999997,87.08267090620032,3.3222463082382276
MARTI 04.11.2025 METABOLIC,71,Lukic,6498,55.48,117.12,62,55,21,15,454.91,388,608.0,158.2,10.21,8.2,0.01,27.526620000000005,55.48155737704918,5.075756625846647
MIERCURI 05.11.2025,71,Lukic,5966,53.66,111.17,47,35,11,16,268.57,265,332.21,77.42,62.16,6.8,0.02,20.26172,53.665557254655035,3.736149209058341
DUMINICA - REACTIVITATE 30.11.2025,74,Jasper,4541,51.28,92.24,41,23,13,7,243.71,147,177.61,20.2,5.09,6.7,0.01,15.76538,49.23026886383348,2.9070489582080983
JOI 27.11.2025 FORTA-SSG ,74,Jasper,2903,80.64,36.03,23,19,8,8,159.61,134,180.23,27.94,0.0,7.8,0.0,12.6752,80.57174576741603,2.3372368414259146
TEHNIC + TACTIC -29.11.2025,74,Jasper,4508,47.46,94.97,21,11,1,3,185.08,101,146.72,170.04,109.18,5.5,0.08,13.59796,47.46762135411183,2.507388686587662
VINERI 28.11.2025,74,Jasper,5904,56.74,104.04,21,18,6,11,165.68,157,258.03,84.3,6.67,6.7,0.01,15.770940000000001,56.74740484429066,2.908074191485548
Joi 20.11.2025,73,Jasper,5040,43.98,114.61,17,13,0,4,77.49,46,76.93,34.61,59.33,5.4,0.03,10.47846,43.97522031236367,1.932170123817201
Miercuri 19.11.2025,73,Jasper,6597,71.64,92.08,29,18,7,5,204.12,118,524.27,447.75,0.0,8.1,0.0,17.0894,71.64422241529105,3.15119093015211
vineri 21.11.2025,73,Jasper,3463,36.96,93.68,12,9,1,1,35.97,40,20.53,0.0,0.0,4.4,0.0,7.1824,36.966268146883,1.324394872653488
JOI 13.11.2025,72,Jasper,5085,56.76,89.6,35,32,8,8,177.31,184,255.25,35.98,0.0,7.3,0.0,15.9612,56.752232142857146,2.9431570841775523
MARTI 11.11.2025,72,Jasper,7647,98.28,77.82,29,32,1,12,143.51,227,1449.83,195.47,6.49,9.4,0.01,19.820180000000004,98.26522744795683,3.654731672848799
MARTI 18.11.2025 Grupa 1,72,Jasper,4949,56.63,87.39,46,33,12,14,224.71,195,179.63,31.9,0.0,6.7,0.0,16.6932,56.63119350040051,3.078133839410114
MIERCURI A2 12.11.2025 SSG,72,Jasper,3305,62.39,52.98,38,23,4,9,165.31,132,78.22,6.72,0.0,6.9,0.0,12.7012,62.38203095507739,2.3420310977593117
MIERECURI 12.112025,72,Jasper,3811,43.88,86.84,33,13,8,9,176.9,96,159.87,61.25,8.43,5.8,0.01,12.23586,43.88530631045601,2.2562249730599673
Vineri 14.11.2025,72,Jasper,5929,46.99,126.18,21,20,4,8,145.57,142,224.38,75.15,0.66,6.1,0.0,14.73172,46.98842922808686,2.716447765839669
JOI 06.11.2025 ,71,Jasper,4508,74.15,79.9,27,5,2,2,265.75,33,417.15,1310.56,25.09,8.4,0.05,14.98318,56.42052565707134,2.762815600362593
LUNI 03.11.2025 COMPENSATOR ,71,Jasper,5213,71.25,73.18,32,23,2,8,171.41,124,202.74,32.94,0.0,7.6,0.0,14.921199999999999,71.23531019404209,2.7513868308416716
MARTI 04.11.2025 METABOLIC,71,Jasper,6037,51.55,117.12,34,22,3,5,207.37,112,487.96,421.54,0.0,6.8,0.0,15.8244,51.545423497267755,2.91793192008491
DUMINICA - REACTIVITATE 30.11.2025,74,Gheorghita,4828,52.34,92.24,38,39,24,17,302.65,252,211.97,48.57,16.49,6.7,0.01,19.35398,52.34171725932351,3.5687669689015022
JOI 27.11.2025 FORTA-SSG ,74,Gheorghita,3163,87.84,36.03,42,19,14,12,255.09,154,238.26,44.28,0.0,8.6,0.0,15.6448,87.7879544823758,2.8848146724895978
MARTI 25.11.2025  (AEROB ),74,Gheorghita,9109,101.64,89.62,43,33,7,11,237.9,223,1328.65,248.95,54.9,8.9,0.06,23.1868,101.64025887078776,4.275517798123454
TEHNIC + TACTIC -29.11.2025,74,Gheorghita,4488,47.25,94.97,37,36,14,13,244.56,222,221.33,98.24,15.88,5.9,0.03,16.950960000000002,47.257028535326945,3.125663359121515
Tactic 26.11.2025,74,Gheorghita,5736,61.18,93.78,36,33,17,18,256.69,224,328.55,55.51,8.19,7.4,0.01,19.11618,61.16442738323736,3.524917962898356
VINERI 28.11.2025,74,Gheorghita,6856,65.89,104.04,48,37,7,21,429.6,327,450.15,256.47,98.24,7.4,0.08,26.28448,65.89773164167627,4.846712873463347
Joi 20.11.2025,73,Gheorghita,6121,53.41,114.61,38,40,23,15,329.29,286,333.36,124.0,109.94,6.7,0.04,22.19668,53.40720704999564,4.092945141168721
Miercuri 19.11.2025,73,Gheorghita,6767,73.49,92.08,45,31,16,12,420.07,276,707.67,517.74,5.06,7.9,0.01,24.698520000000002,73.49044309296264,4.554270612905105
vineri 21.11.2025,73,Gheorghita,4663,49.77,93.68,49,39,13,18,217.18,204,208.99,18.94,0.0,6.2,0.0,16.186600000000002,49.77583262169086,2.9847195986986175
JOI 13.11.2025,72,Gheorghita,6656,74.29,89.6,40,35,12,15,345.72,276,613.72,465.91,30.7,8.3,0.06,23.6018,74.28571428571429,4.352041504983444
Joc Amical Zibru,72,Gheorghita,10623,87.88,120.89,45,53,20,21,480.94,528,1075.35,441.96,235.3,8.8,0.12,36.272400000000005,87.8732732235917,6.688430131827298
MARTI 11.11.2025,72,Gheorghita,8604,110.58,77.82,45,37,8,9,309.54,282,1999.48,220.73,14.35,10.4,0.03,25.8135,110.56283731688512,4.7598667639286045
MARTI 18.11.2025 Grupa 1,72,Gheorghita,5470,62.6,87.39,61,45,21,18,349.26,257,343.38,53.42,0.0,7.1,0.0,21.1452,62.59297402448793,3.8990580392671714
MIERCURI A2 12.11.2025 SSG,72,Gheorghita,4193,79.14,52.98,37,22,9,11,199.27,142,238.85,25.26,0.62,8.1,0.02,15.16964,79.14307285768214,2.797197794052024
MIERECURI 12.112025,72,Gheorghita,3904,44.96,86.84,24,33,14,7,240.73,241,320.21,246.32,56.86,6.9,0.06,17.40232,44.95624136342699,3.2088916490692867
Vineri 14.11.2025,72,Gheorghita,6698,53.08,126.18,41,38,13,16,319.64,313,405.13,119.28,25.37,6.3,0.02,22.65154,53.08289744809003,4.176818811776758
JOC OFICIAL U-METALOGLOBUS,71,Gheorghita,3120,113.4,27.52,18,21,8,11,186.56,292,521.82,229.3,86.08,11.5,0.15,19.36336,113.37209302325581,3.5704965890710127
JOI 06.11.2025 ,71,Gheorghita,4638,58.05,79.9,40,33,19,22,272.11,205,349.26,101.31,0.0,7.3,0.0,17.8302,58.047559449311635,3.2877903567590527
LUNI 03.11.2025 COMPENSATOR ,71,Gheorghita,5793,79.17,73.18,41,32,9,7,235.5,175,449.89,30.4,0.0,7.9,0.0,17.953,79.16097294342715,3.310433998210635
MARTI 04.11.2025 METABOLIC,71,Gheorghita,6777,57.86,117.12,42,30,11,10,307.65,217,470.18,149.3,10.61,7.5,0.02,21.14122,57.86372950819672,3.898324149259213
MIERCURI 05.11.2025,71,Gheorghita,5539,49.83,111.17,36,26,13,12,231.99,170,285.97,75.39,40.67,6.2,0.03,16.91014,49.824592965728165,3.1181363766780814
DUMINICA - REACTIVITATE 30.11.2025,74,Fabry,4619,51.76,92.24,32,28,15,5,200.73,158,300.32,10.93,0.0,6.9,0.0,15.2436,50.07588898525586,2.8108356093757947
JOI 27.11.2025 FORTA-SSG ,74,Fabry,3151,87.49,36.03,45,34,6,9,282.18,233,280.8,111.79,1.39,9.1,0.0,18.00738,87.4548986955315,3.3204613697264103
MARTI 25.11.2025  (AEROB ),74,Fabry,9569,106.78,89.62,52,35,12,13,333.1,285,1573.55,279.83,9.18,10.0,0.02,27.049360000000004,106.7730417317563,4.987752519012914
TEHNIC + TACTIC -29.11.2025,74,Fabry,4622,48.67,94.97,43,27,13,11,331.46,162,381.14,77.31,101.36,6.4,0.04,18.09392,48.66800042118564,3.336418867537647
Tactic 26.11.2025,74,Fabry,6777,72.27,93.78,50,32,14,7,315.07,220,593.38,71.58,0.0,7.9,0.0,21.4284,72.26487523992323,3.9512785544063265
VINERI 28.11.2025,74,Fabry,6977,67.06,104.04,33,35,7,6,199.38,215,710.96,167.04,12.49,7.5,0.02,19.139580000000002,67.06074586697423,3.5292327935984136
Joi 20.11.2025,73,Fabry,6576,57.38,114.61,47,31,3,3,339.6,197,500.17,151.65,70.86,6.7,0.03,20.949720000000003,57.37719221708402,3.8630126074190008
MARTI 18.11.2025 Grupa 2,73,Fabry,4160,50.55,82.31,37,23,17,3,232.66,126,216.25,63.81,0.73,6.1,0.0,14.38466,50.54063904750334,2.6524518195677937
Miercuri 19.11.2025,73,Fabry,7437,80.77,92.08,38,25,14,8,337.17,202,869.86,585.14,21.04,8.7,0.04,22.812479999999997,80.76672458731538,4.206495258480485
vineri 21.11.2025,73,Fabry,4310,46.01,93.68,26,22,10,2,144.13,96,181.51,4.76,0.0,6.4,0.0,12.3126,46.007685738684884,2.2703754050224627
Compensator Fabry/Dino/Murgia,72,Fabry,4340,95.66,45.37,39,12,20,14,551.32,222,1228.86,561.85,2.89,12.1,0.04,26.06218,95.65792373815297,4.805721981812804
DUMINICA - REACTIVITATE 30.11.2025,74,Elio,4821,52.26,92.24,48,40,20,8,284.96,189,202.16,13.67,0.0,6.6,0.0,17.6002,52.26582827406765,3.2453796276559252
JOI 27.11.2025 FORTA-SSG ,74,Elio,3123,86.71,36.03,55,22,14,10,266.82,160,222.97,11.19,0.0,8.9,0.0,16.1094,86.67776852622814,2.9704843452779155
MARTI 25.11.2025  (AEROB ),74,Elio,9121,101.79,89.62,44,24,5,5,202.5,149,1555.55,148.96,0.0,10.0,0.0,21.151,101.77415755411738,3.9001275272184674
TEHNIC + TACTIC -29.11.2025,74,Elio,4215,44.38,94.97,33,22,11,7,226.78,122,171.06,83.41,71.93,5.9,0.04,14.484459999999999,44.38243655891334,2.6708543881090634
Tactic 26.11.2025,74,Elio,5694,60.73,93.78,56,16,6,4,250.63,102,215.65,25.48,0.0,7.5,0.0,16.4966,60.71657069737684,3.0418818857506587
VINERI 28.11.2025,74,Elio,4601,44.23,104.04,26,24,6,5,130.91,128,212.76,50.79,0.0,6.4,0.0,12.979199999999999,44.223375624759704,2.393292761631787
JOC OFICIAL   UTA - U CLUJ ,73,Elio,10811,108.97,99.22,82,90,29,41,587.21,614,1439.66,449.11,99.93,10.7,0.07,40.735060000000004,108.95988711953235,7.511319976781047
Joi 20.11.2025,73,Elio,5789,50.51,114.61,51,35,9,13,227.68,196,208.29,75.19,83.32,6.0,0.03,17.57924,50.51042666433994,3.24151471947331
MARTI 18.11.2025 Grupa 2,73,Elio,5027,61.08,82.31,84,60,9,9,368.75,285,314.21,23.48,0.0,7.7,0.0,21.952,61.073988579759444,4.047827501181968
Miercuri 19.11.2025,73,Elio,7157,77.72,92.08,46,22,14,8,392.92,213,579.44,525.55,23.59,8.2,0.0,23.422579999999996,77.72589052997394,4.318994327288389
vineri 21.11.2025,73,Elio,5614,59.93,93.68,77,64,25,28,371.07,342,278.88,40.17,0.0,6.4,0.0,23.0754,59.92741246797608,4.254976253679591
JOC OFICIAL U-METALOGLOBUS,71,Elio,11286,113.49,100.27,62,74,16,31,409.83,535,1633.55,321.12,21.4,10.8,0.03,35.7754,112.55609853395832,6.596786078069669
JOI 06.11.2025 ,71,Elio,5080,63.58,79.9,53,49,23,28,295.66,300,253.76,80.94,1.54,6.8,0.0,20.39628,63.579474342928656,3.7609613295284143
MARTI 04.11.2025 METABOLIC,71,Elio,6720,57.38,117.12,49,29,6,7,254.75,178,421.74,67.16,0.0,7.3,0.0,19.025,57.377049180327866,3.5081048747260812
MIERCURI 05.11.2025,71,Elio,5334,47.98,111.17,37,42,5,7,205.69,220,227.94,61.4,51.27,6.3,0.03,17.250339999999998,47.9805702977422,3.1808673768558373
DUMINICA - REACTIVITATE 30.11.2025,74,El Sawy,5444,61.62,92.24,60,43,24,4,371.16,235,305.34,63.79,14.01,7.1,0.01,21.195220000000003,59.01994796183868,3.9082814508747306
JOI 27.11.2025 FORTA-SSG ,74,El Sawy,3409,94.65,36.03,43,27,11,9,331.19,189,439.57,80.29,2.82,9.3,0.0,18.46844,94.61559811268387,3.4054782860754877
MARTI 25.11.2025  (AEROB ),74,El Sawy,9764,108.95,89.62,50,52,16,22,393.27,428,1793.05,387.01,31.75,10.3,0.06,31.702900000000003,108.94889533586253,5.845839581232772
TEHNIC + TACTIC -29.11.2025,74,El Sawy,4871,51.29,94.97,41,22,9,10,247.88,171,329.6,156.04,14.29,6.2,0.02,16.477180000000004,51.28988101505739,3.0383009450585603
Tactic 26.11.2025,74,El Sawy,6597,70.35,93.78,67,40,25,13,439.49,322,541.07,150.89,0.74,8.1,0.01,25.928280000000004,70.34548944337811,4.78103156169581
VINERI 28.11.2025,74,El Sawy,7224,69.43,104.04,48,39,15,11,425.5,327,674.52,315.56,80.15,7.9,0.06,26.6843,69.43483275663206,4.920437472202533
JOC OFICIAL   UTA - U CLUJ ,73,El Sawy,8855,125.93,70.32,69,87,23,34,668.98,683,1594.79,748.85,213.56,11.7,0.23,43.32172,125.92434584755405,7.988285787832766
Joi 20.11.2025,73,El Sawy,6523,56.91,114.61,47,28,20,13,393.78,222,416.17,275.31,146.97,7.0,0.08,23.032539999999997,56.91475438443417,4.24707310650846
vineri 21.11.2025,73,El Sawy,5071,54.14,93.68,53,35,15,10,316.3,228,384.87,66.77,0.0,6.8,0.0,19.357,54.13108454312553,3.5693238402140737
JOC OFICIAL U-METALOGLOBUS,71,El Sawy,9435,122.98,77.35,51,67,27,26,547.2,643,1849.51,751.1,208.35,11.9,0.21,40.6557,121.97802197802199,7.496686431295725
JOI 06.11.2025 ,71,El Sawy,4756,59.53,79.9,52,44,25,14,339.36,279,450.57,70.52,0.0,7.2,0.0,20.723200000000002,59.5244055068836,3.821243571086651
LUNI 03.11.2025 COMPENSATOR ,71,El Sawy,5900,80.63,73.18,58,32,11,6,322.05,217,430.34,51.65,0.0,8.3,0.0,20.831000000000003,80.62312107133096,3.841121295422813
MARTI 04.11.2025 METABOLIC,71,El Sawy,7512,64.14,117.12,59,38,17,19,488.12,412,784.03,341.27,23.1,8.0,0.03,29.7106,64.13934426229508,5.478470469962508
MIERCURI 05.11.2025,71,El Sawy,6033,54.27,111.17,40,34,18,6,332.49,273,475.22,164.82,62.6,6.8,0.04,21.868,54.26823783394801,4.032338365335608
Compensator 27.11.2025 Drammeh,74,Drammeh,4766,112.96,42.2,15,11,0,2,162.76,73,2650.89,301.55,2.9,12.1,0.02,15.637000000000002,112.93838862559241,2.883376395589579
Compensator Drammeh Dumininca 30.11,74,Drammeh,6601,97.66,67.59,23,23,9,8,209.26,154,1798.04,159.98,0.0,10.1,0.0,18.9162,97.66237609113773,3.4880427559155587
Compensator Drammeh Miercuri 26.11.2025,74,Drammeh,4210,68.07,61.84,28,28,9,14,190.48,206,179.53,4.34,0.0,7.5,0.0,15.889600000000002,68.07891332470892,2.929954439813274
Sambata Compensator Drammeh,74,Drammeh,7042,101.74,69.22,42,38,18,21,234.32,194,1479.08,41.46,0.0,10.1,0.0,20.6584,101.73360300491187,3.8092948091480308
DUMINICA - REACTIVITATE 30.11.2025,74,Dino,5379,60.54,92.24,46,53,36,30,473.45,438,407.08,152.39,18.39,7.4,0.02,27.444779999999998,58.31526452732004,5.060665782064907
JOI 27.11.2025 FORTA-SSG ,74,Dino,3129,86.9,36.03,35,46,8,11,239.25,310,312.98,119.49,0.0,9.0,0.0,18.614,86.84429641965029,3.4323187457635367
MARTI 25.11.2025  (AEROB ),74,Dino,9340,104.22,89.62,45,56,6,24,319.76,574,1510.87,581.63,112.24,9.7,0.13,32.939679999999996,104.21780852488283,6.073894979233493
TEHNIC + TACTIC -29.11.2025,74,Dino,4225,44.49,94.97,34,32,6,10,197.46,196,158.23,110.12,35.1,5.6,0.05,15.214399999999998,44.48773296830578,2.8054512907244407
Tactic 26.11.2025,74,Dino,6505,69.38,93.78,56,43,12,10,354.27,256,380.39,135.71,57.12,7.9,0.04,22.974639999999997,69.36447003625507,4.236396666442934
VINERI 28.11.2025,74,Dino,6735,64.73,104.04,42,55,13,22,325.78,419,539.55,193.07,50.24,7.3,0.05,25.63108,64.73471741637832,4.726229523915594
JOC OFICIAL   UTA - U CLUJ ,73,Dino,11571,117.97,99.22,89,78,44,68,851.88,814,1135.69,508.73,312.52,10.2,0.18,51.51364,116.61963313848014,9.498830570243598
Joi 20.11.2025,73,Dino,6150,53.66,114.61,39,52,20,20,339.64,380,315.2,126.4,132.03,6.6,0.05,24.35686,53.66023907163424,4.491270396794781
Miercuri 19.11.2025,73,Dino,6524,70.85,92.08,44,29,14,17,412.93,328,602.13,659.35,78.17,7.9,0.09,25.898939999999996,70.85143353605561,4.775621427818043
vineri 21.11.2025,73,Dino,4875,52.05,93.68,39,41,24,24,325.07,324,205.35,141.74,36.36,6.7,0.02,21.379120000000004,52.03885567890691,3.9421915947097963
Compensator Fabry/Dino/Murgia,72,Dino,4282,94.38,45.37,38,13,17,23,567.83,278,1205.21,580.55,6.43,11.5,0.02,27.06146,94.3795459554772,4.989983692152687
JOI 13.11.2025,72,Dino,3374,37.66,89.6,28,28,8,8,141.11,140,143.94,64.87,23.01,6.3,0.02,12.292220000000002,37.65625,2.266617445634977
MARTI 18.11.2025 Grupa 1,72,Dino,5208,59.6,87.39,62,48,7,24,305.68,323,330.79,52.27,8.08,7.0,0.02,21.39776,59.59491932715414,3.945628707711893
MIERECURI 12.112025,72,Dino,4824,85.56,56.39,19,19,6,3,73.57,48,455.47,19.38,0.0,8.5,0.0,11.5054,85.54708281610215,2.121532185317921
Vineri 14.11.2025,72,Dino,5482,43.44,126.18,41,38,5,16,217.51,257,261.15,93.84,15.16,6.2,0.02,18.202520000000003,43.44587097796798,3.3564441074532985
JOC OFICIAL U-METALOGLOBUS,71,Dino,3324,92.71,35.85,9,15,9,8,88.67,219,368.61,201.38,43.24,9.6,0.11,14.913879999999999,92.71966527196652,2.750037063289346
JOI 06.11.2025 ,71,Dino,4640,58.07,79.9,55,56,16,26,296.91,349,272.15,88.78,13.46,7.0,0.01,21.13512,58.072590738423024,3.8971993429656084
MARTI 04.11.2025 METABOLIC,71,Dino,7031,60.03,117.12,65,63,23,36,523.1,569,710.7,153.33,54.89,7.9,0.03,33.08278000000001,60.03244535519126,6.100281828514614
MIERCURI 05.11.2025,71,Dino,4235,38.09,111.17,21,41,5,4,135.43,263,268.41,109.02,13.54,6.0,0.01,15.28068,38.094809750832056,2.817672956485117
DUMINICA - REACTIVITATE 30.11.2025,74,Cristea,5524,59.89,92.24,68,67,30,28,439.7,408,447.71,54.49,9.1,7.7,0.01,26.396200000000004,59.88725065047702,4.867313424139007
JOI 27.11.2025 FORTA-SSG ,74,Cristea,3380,93.85,36.03,54,38,14,24,359.64,322,363.33,109.68,22.48,9.2,0.06,21.957760000000004,93.81071329447683,4.048889613354291
MARTI 25.11.2025  (AEROB ),74,Cristea,9371,104.58,89.62,62,57,17,31,338.98,447,1794.85,330.39,46.66,10.6,0.03,30.63392,104.56371345681767,5.648725576029897
TEHNIC + TACTIC -29.11.2025,74,Cristea,4601,48.44,94.97,51,38,11,17,241.2,206,222.37,35.67,0.0,6.3,0.0,16.695,48.44687796146152,3.078465749463965
Tactic 26.11.2025,74,Cristea,6944,74.05,93.78,83,74,23,20,436.67,413,573.49,126.45,14.17,8.8,0.01,28.415740000000003,74.04563872894008,5.2397054408908765
VINERI 28.11.2025,74,Cristea,6987,67.15,104.04,65,57,13,22,367.66,336,603.24,123.81,15.53,8.2,0.01,25.24126,67.15686274509804,4.654348869920024
